ap_orig,ap_dest,enmu_base,enmu_nec,ours_current,unreached_current,ours_base,unreached_base,ours_nec,unreached_nec
5221858003006,5300108005041,18.230351249361938,16.863125886593675,59.20524806085193,0.0,59.20524806085193,0.0,56.855586044162045,0.0
5221858003006,5300108005045,105.65597880440852,71.00845575162877,133.79122617764784,0.013630677703338145,133.79122617764784,0.013630677703338145,109.84271559778546,0.013630677703338145
5221858003006,5300108005047,79.73082984474777,41.684043148368595,108.9505638317825,0.04040268750957399,108.9505638317825,0.04040268750957399,85.43670091658261,0.04040268750957399
5221858003007,5300108005006,35.58893352090078,34.441422842199,138.8616257769049,0.19367769312974548,138.8616257769049,0.19367769312974548,111.51160254749566,0.007316882023396198
5221858003007,5300108005005,34.10716874070926,34.065039718107045,130.75775419214864,0.0,130.75775419214864,0.0,103.39597747496674,0.0
5221858003007,5300108005040,32.87797718233097,23.33573969125457,130.18451455675446,0.0,130.18451455675446,0.0,81.77508710218027,0.0
5221858003007,5300108005041,19.777930210986483,17.988781639554908,118.61330278414272,0.0,118.61330278414272,0.0,86.32310223046248,0.0
5221858003007,5300108005045,111.97512724618366,76.87139630690739,158.40981264574927,0.7688607075799188,158.40981264574927,0.7688607075799188,130.44121901930606,0.16201397589589694
5221858003007,5300108005047,79.566871372965,47.46579760440888,154.77662250252206,0.5608199430840698,154.77662250252206,0.5608199430840698,113.55099927824652,0.0404026875095741
5300108005012,5300108005006,65.42228752382337,62.69726026490928,93.90025749044497,0.007316882023396198,93.83279413984098,0.007316882023396198,93.65040848751397,0.007316882023396198
5300108005012,5300108005005,67.02955583031166,64.6165279206343,94.59215904764153,0.0,94.5195247112294,0.0,94.55820520826246,0.0
5300108005012,5300108005040,66.69173237914458,53.75492097089746,93.26025973522826,0.0,93.25929145629507,0.0,93.20336428228329,0.0
5300108005012,5300108005041,76.231363068711,61.0475292183917,100.5606134197987,0.0,100.59086642659511,0.0,100.239867104816,0.0
5300108005012,5300108005045,64.82826815039611,57.15317105323235,97.81395673905917,0.009101476014901078,97.92255857808594,0.009101476014901078,97.66697063292307,0.009101476014901078
5300108005012,5300108005047,29.026918222970366,25.55045269492929,59.57329663158253,0.0005750807852881179,59.49491881358241,0.0005750807852881179,58.66355303680141,0.0005750807852881179
5300108005044,5300108005006,50.95459948974337,50.56558464489327,71.95680826895115,0.007113563965838066,71.95680826895115,0.007113563965838066,71.95680826895115,0.007113563965838066
5300108005044,5300108005005,52.58053305467812,52.23837734293937,74.00278321208123,0.0,74.00278321208123,0.0,74.00278321208123,0.0
5300108005044,5300108005040,58.01947033886291,55.86263661034047,78.2906205431788,0.0,78.2906205431788,0.0,78.03102975187512,0.0
5300108005044,5300108005041,67.55466958866607,63.52892774061771,84.47034928814888,0.0,84.47034928814888,0.0,83.8566264240544,0.0
5300108005044,5300108005045,104.24451305709812,102.85426989386747,103.79485475287845,0.018379330324650667,103.79485475287845,0.018379330324650667,103.73835301945107,0.018379330324650667
5300108005044,5300108005047,20.937396973843896,21.06035212340356,39.0785230454536,0.008217011345758807,39.0785230454536,0.008217011345758807,39.0785230454536,0.008217011345758807
5300108005043,5300108005006,39.17522627338512,38.376598863732134,61.72984349203116,0.0007988130530023341,61.72984349203116,0.0007988130530023341,61.72984349203116,0.0007988130530023341
5300108005043,5300108005005,40.3754367286383,39.88413353173733,62.2955644039789,0.0,62.2955644039789,0.0,62.2955644039789,0.0
5300108005043,5300108005040,44.075880728223204,39.85554861903635,66.67425012432042,0.0,66.67425012432042,0.0,66.5034356084706,0.0
5300108005043,5300108005041,55.26807383647143,42.37009850536584,72.63835871639566,0.0,72.63835871639566,0.0,72.3763958608439,0.0
5300108005043,5300108005045,98.38091893452192,71.5161827275815,100.06750607869147,0.01599786200009179,100.06750607869147,0.01599786200009179,100.0185990577373,0.01599786200009179
5300108005043,5300108005047,13.587496516349356,13.402611730567507,31.190102062810457,0.0,31.190102062810457,0.0,31.190102062810457,0.0
5300108005037,5300108005006,53.15941985329873,52.39094454085151,73.26600632263973,0.007316882023396087,73.25832629225862,0.007316882023396087,73.25832629225862,0.007316882023396087
5300108005037,5300108005005,54.41778399297534,53.25099219211446,75.11527463568306,0.0,75.12654188019839,0.0,75.12654188019839,0.0
5300108005037,5300108005040,54.87457876934497,52.06742878222733,77.97321165375071,0.0,77.9829964799019,0.0,77.94858846232546,0.0
5300108005037,5300108005041,64.79926478555738,58.38094796952344,84.8085520641096,0.0,84.82700569207759,0.0,84.74524499826065,0.0
5300108005037,5300108005045,74.28120217774925,74.66803117418783,96.96839351196144,0.018379330324650667,96.95494983497638,0.018379330324650667,96.91296445674939,0.018379330324650667
5300108005037,5300108005047,19.16557978159307,19.11644493222102,39.448702174311514,0.010445800601822763,39.440584403738725,0.010445800601822763,39.41789479721708,0.010445800601822763
5300108005036,5300108005006,60.172658293558214,60.02488137426315,82.34423327791392,0.0073168820233963094,82.34423327791392,0.0073168820233963094,82.34423327791392,0.0073168820233963094
