processing_acps,policy_config,interest_housing,policy_melhorias,seed,delta_gini_periphery,delta_house_values_periphery,delta_median_affordability_periphery,total_pop,n_municipalities
MACAPA,high_active,high,True,9,-0.024653333333333305,-2.8891000000000133,-0.009370783333333334,1193.9666666666667,1
MACAPA,high_inactive,high,False,0,0.0009850000000000136,5.5803333333333285,-0.011431716666666675,1211.7666666666667,1
MACAPA,high_inactive,high,False,1,-0.00991666666666663,1.0649499999999819,-0.0033604000000000064,1167.2,1
MACAPA,high_inactive,high,False,2,0.0011149999999999771,-7.6092999999999895,-0.0154377,1203.6833333333334,1
MACAPA,high_inactive,high,False,3,-0.0301433333333333,-1.7640500000000259,0.008478183333333326,1201.9666666666667,1
MACAPA,high_inactive,high,False,4,-0.003455000000000041,4.990499999999997,0.010828333333333336,1203.95,1
MACAPA,high_inactive,high,False,5,0.023814999999999975,-13.484233333333322,0.004751133333333338,1189.2,1
MACAPA,high_inactive,high,False,6,0.0005416666666666625,-5.222199999999987,-0.005446366666666667,1202.7,1
MACAPA,high_inactive,high,False,7,-0.007601666666666729,-1.511400000000009,0.002992699999999994,1203.4166666666667,1
MACAPA,high_inactive,high,False,8,0.0001166666666665983,6.14818333333335,-0.0013109999999999997,1204.2,1
MACAPA,high_inactive,high,False,9,-0.005823333333333347,-6.7111500000000035,-0.008547516666666671,1193.9666666666667,1
MACAPA,low_active,low,True,0,-0.0047200000000000575,11.458916666666653,-0.008146983333333337,1211.7666666666667,1
MACAPA,low_active,low,True,1,0.007780000000000009,14.442599999999999,0.00945926666666666,1167.2,1
MACAPA,low_active,low,True,2,0.022240000000000038,13.247250000000037,0.0023333833333333276,1203.6833333333334,1
MACAPA,low_active,low,True,3,-0.013136666666666685,-4.689583333333331,0.008102216666666662,1201.9666666666667,1
MACAPA,low_active,low,True,4,0.025201666666666678,-1.98275000000001,0.0009298000000000084,1203.95,1
MACAPA,low_active,low,True,5,0.003379999999999994,-1.2932500000000005,0.010324483333333336,1189.2,1
MACAPA,low_active,low,True,6,0.0010499999999999954,0.20889999999999986,-0.001202616666666663,1202.7,1
MACAPA,low_active,low,True,7,-0.041056666666666686,18.975083333333316,0.006908833333333322,1203.4166666666667,1
MACAPA,low_active,low,True,8,-0.0007733333333334036,-6.252299999999991,0.0005797000000000024,1204.2,1
MACAPA,low_active,low,True,9,-0.037718333333333354,4.738650000000007,-0.01118715,1193.9666666666667,1
MACAPA,low_inactive,low,False,0,-0.002143333333333386,6.50303333333332,-0.008905100000000006,1211.7666666666667,1
MACAPA,low_inactive,low,False,1,-0.015763333333333296,0.700366666666639,-0.0004746833333333367,1167.2,1
MACAPA,low_inactive,low,False,2,0.015203333333333346,-6.158183333333312,-0.011295366666666667,1203.6833333333334,1
MACAPA,low_inactive,low,False,3,0.0045800000000000285,7.381116666666657,0.0023878166666666603,1201.9666666666667,1
MACAPA,low_inactive,low,False,4,-0.004368333333333363,1.0328833333333307,-0.0039410499999999946,1203.95,1
MACAPA,low_inactive,low,False,5,-0.02482833333333334,-3.7706833333333236,-0.00011783333333333092,1189.2,1
MACAPA,low_inactive,low,False,6,-0.004906666666666726,4.98520000000002,0.00027690000000000353,1202.7,1
MACAPA,low_inactive,low,False,7,-0.004095000000000071,-6.302466666666675,-0.003995583333333337,1203.4166666666667,1
MACAPA,low_inactive,low,False,8,-0.007215000000000027,-0.743883333333315,0.0016789999999999997,1204.2,1
MACAPA,low_inactive,low,False,9,0.0020416666666666083,-4.116966666666656,-0.0047588999999999965,1193.9666666666667,1
MACAPA,medium_active,medium,True,0,0.018415000000000015,6.027833333333319,-0.00107850000000001,1211.7666666666667,1
MACAPA,medium_active,medium,True,1,0.009836666666666716,4.021633333333341,0.006370549999999996,1167.2,1
MACAPA,medium_active,medium,True,2,0.016290000000000027,26.583516666666668,-0.002972133333333335,1203.6833333333334,1
MACAPA,medium_active,medium,True,3,-0.02809166666666663,-7.485800000000041,0.0013044666666666635,1201.9666666666667,1
MACAPA,medium_active,medium,True,4,0.022943333333333316,0.5822833333333506,-0.0006471333333333273,1203.95,1
MACAPA,medium_active,medium,True,5,0.007276666666666654,10.749716666666671,0.007255416666666666,1189.2,1
MACAPA,medium_active,medium,True,6,0.009479999999999988,-5.63424999999998,-0.002629399999999997,1202.7,1
MACAPA,medium_active,medium,True,7,-0.01578500000000005,9.409016666666673,0.0017450166666666612,1203.4166666666667,1
MACAPA,medium_active,medium,True,8,0.004659999999999942,-5.676150000000007,-0.0017145166666666656,1204.2,1
MACAPA,medium_active,medium,True,9,-0.039459999999999995,4.04131666666666,-0.009446783333333333,1193.9666666666667,1
MACEIO,high_active,high,True,0,-0.004751774231877684,-5.222898045506197,0.00023613697940296212,1285.7833333333333,4
MACEIO,high_active,high,True,1,0.008125668422886412,4.688186940410955,0.017671127559702057,1179.9333333333334,4
MACEIO,high_active,high,True,2,0.00585358926582993,6.765421468561879,-0.004035107360998356,1252.2833333333333,4
MACEIO,high_active,high,True,3,-0.00572203939364947,-5.203731736810684,0.00765273106840352,1219.3166666666666,4
MACEIO,high_active,high,True,4,-0.01096788099064106,23.275044572942097,0.01741788811719999,1317.2166666666667,4
