cod_ibge,ano,recursos_fgts,recursos_sbpe
130190,2012,790631.6400000001,1581263.2800000003
130190,2013,1892963.88,3785927.76
130190,2014,1144254.12,2288508.24
130190,2015,431190.56000000006,862381.1200000001
130190,2016,377333.84,754667.68
130190,2017,288991.28,577982.56
130190,2018,76000.0,152000.0
130190,2020,27489.92,54979.84
130190,2022,0.0,0.0
130190,2023,165174.0,330348.0
130190,2024,1316.0,2632.0
130190,2025,55707.92,111415.84
130220,2011,0.0,0.0
130240,2014,82170.31999999999,164340.63999999998
130240,2015,219797.88,439595.76
130240,2016,104754.52000000002,209509.04000000004
130240,2017,47801.04,95602.08
130240,2018,106868.0,213736.0
130240,2019,0.0,0.0
130250,2009,699956.0,1399912.0
130250,2010,936248.0,1872496.0
130250,2011,253820.0,507640.0
130250,2012,1100632.52,2201265.04
130250,2013,1566381.5199999996,3132763.039999999
130250,2014,1543286.9199999997,3086573.8399999994
130250,2015,354058.96,708117.92
130250,2016,654645.28,1309290.56
130250,2017,449334.32000000007,898668.6400000001
130250,2018,723120.1599999999,1446240.3199999998
130250,2019,446621.32,893242.64
130250,2020,87530.96,175061.92
130250,2021,83011.95999999999,166023.91999999998
130250,2022,9075.92,18151.84
130250,2023,0.0,0.0
130250,2024,1556.0,3112.0
130250,2025,0.0,0.0
130260,2009,9934712.0,19869424.0
